#iterationNumber	varNumber	clauseNumber	itertionTime
1	9500	23315	0.1711s
2	17258	32224	0.05709s
3	25016	52768	0.07708s
4	32774	49606	0.06522s
5	40532	70126	0.08372s
6	48290	66603	0.08483s
7	56048	71060	0.08828s
8	63806	91534	0.103s
9	71564	89349	0.1159s
10	79322	95039	0.09773s
11	87080	115495	0.1459s
12	94838	114116	0.1427s
13	102596	118964	0.1843s
14	110354	124181	0.1095s
15	118112	144583	0.1039s
16	125870	139224	0.1593s
17	133628	146533	0.1324s
18	141386	166899	0.1425s
19	149144	160502	0.2425s
20	156902	163948	0.1805s
21	164660	167662	0.1479s
22	172418	170523	0.1289s
23	180176	190793	0.1575s
24	187934	185115	0.1861s
25	195692	190307	0.1724s
26	203450	210555	0.1965s
27	211208	204683	0.2165s
28	218966	208354	0.2631s
29	226724	208873	0.209s
30	234482	215519	0.1846s
31	242240	235705	0.1909s
32	249998	223619	0.1525s
33	257756	243753	0.1602s
34	265514	263885	0.1899s
35	273272	239627	0.1874s
36	281030	259755	0.3131s
37	288788	255644	0.2806s
38	296546	258124	0.2482s
39	304304	266471	0.2032s
40	312062	286551	0.5375s
41	319820	245634	0.1794s
42	327578	265554	0.2171s
43	335336	254331	0.3594s
44	343094	255306	0.2297s
45	350852	259877	0.3364s
46	358610	262522	0.2585s
47	366368	266249	0.2329s
48	374126	269730	0.2248s
49	381884	289570	0.3682s
50	389642	274473	0.3415s
51	397400	280602	0.3623s
52	405158	284308	0.257s
53	412916	288078	0.216s
54	420674	307848	0.5416s
55	428432	288565	0.3125s
56	436190	290137	0.3106s
57	443948	283158	0.217s
58	451706	302832	0.2156s
59	459464	322506	0.4462s
60	467222	274814	0.2512s
61	474980	294446	0.244s
62	482738	285460	0.2783s
63	490496	305088	0.2207s
64	498254	324716	0.2747s
65	506012	289842	0.2667s
66	513770	309418	0.2903s
67	521528	283141	0.3335s
68	529286	276577	0.3421s
69	537044	296089	0.3258s
70	544802	282014	0.2624s
71	552560	272218	0.2375s
72	560318	291660	0.4708s
73	568076	274274	0.3926s
74	575834	271675	0.2448s
75	583592	291047	0.302s
76	591350	261014	0.2639s
77	599108	280378	0.2415s
78	606866	267894	0.244s
79	614624	287242	0.4162s
80	622382	269595	0.5461s
81	630140	269019	0.2873s
82	637898	288331	0.2933s
83	645656	265106	0.4772s
84	653414	263242	0.2909s
85	661172	282494	0.3474s
86	668930	257458	0.2352s
87	676688	276678	0.2749s
88	684446	295898	0.2998s
89	692204	251801	0.2605s
90	699962	271013	0.2764s
91	707720	290225	0.2626s
92	715478	309437	0.4067s
93	723236	252127	0.2795s
94	730994	253585	0.3332s
95	738752	272777	0.3497s
96	746510	255245	0.4552s
97	754268	255215	0.2693s
98	762026	258251	0.3418s
99	769784	277413	0.3543s
100	777542	260151	0.4006s
101	785300	260982	0.3024s
102	793058	258293	0.5115s
103	800816	259180	0.2941s
104	808574	278314	0.5827s
105	816332	257876	0.4679s
106	824090	255949	0.2794s
107	831848	258081	0.2748s
108	839606	277171	0.2889s
109	847364	296255	0.285s
110	855122	315335	0.307s
111	862880	334411	0.2869s
112	870638	353483	0.3686s
113	878396	265400	0.3187s
114	886154	284472	0.2941s
115	893912	303544	0.3306s
116	901670	322616	0.3336s
117	909428	273601	0.3361s
118	917186	292665	0.7345s
119	924944	274249	0.32s
120	932702	293303	0.309s
121	940460	312353	0.3475s
122	948218	331399	0.5519s
123	955976	277172	0.3354s
124	963734	296202	0.4712s
125	971492	269681	0.6086s
126	979250	266449	0.3386s
127	987008	285443	0.3389s
128	994766	304431	0.3289s
129	1002524	323415	0.3383s
130	1010282	342395	0.3688s
This is the last UNSAT round.
