#iterationNumber	varNumber	clauseNumber	itertionTime
1	11901	31611	0.219s
2	19973	34534	0.05865s
3	28045	55534	0.06285s
4	36117	76534	0.0753s
5	44189	49181	0.0648s
6	52261	69953	0.06703s
7	60333	40972	0.0701s
8	68405	61730	0.07611s
9	76477	82488	0.0747s
10	84549	45090	0.07494s
11	92621	65844	0.07395s
12	100693	86598	0.07612s
13	108765	107352	0.08298s
14	116837	50994	0.07948s
15	124909	71748	0.08071s
16	132981	92502	0.08447s
17	141053	113244	0.1043s
18	149125	56336	0.1007s
19	157197	57613	0.1139s
20	165269	59060	0.0938s
21	173341	79794	0.09521s
22	181413	100524	0.1053s
23	189485	62799	0.1052s
24	197557	83529	0.1052s
25	205629	104259	0.1025s
26	213701	124989	0.1283s
27	221773	68412	0.1106s
28	229845	89142	0.1084s
29	237917	109872	0.1203s
30	245989	71950	0.16s
31	254061	72904	0.1217s
32	262133	74170	0.1193s
33	270205	94898	0.1519s
34	278277	76456	0.121s
35	286349	97172	0.1568s
36	294421	73259	0.1393s
37	302493	73975	0.1209s
38	310565	94681	0.1963s
39	318637	68916	0.2279s
40	326709	67902	0.1481s
41	334781	68153	0.1298s
42	342853	88825	0.1338s
43	350925	109497	0.1695s
44	358997	62795	0.141s
45	367069	83443	0.1325s
46	375141	104091	0.1846s
47	383213	57670	0.1401s
48	391285	78310	0.1421s
49	399357	98950	0.1478s
50	407429	60598	0.1444s
51	415501	81238	0.4821s
52	423573	60662	0.1516s
53	431645	61462	0.1772s
54	439717	82074	0.1562s
55	447789	102686	0.161s
56	455861	123294	0.1518s
57	463933	143902	0.1735s
58	472005	164506	0.1968s
This is the last UNSAT round.
