#iterationNumber	varNumber	clauseNumber	itertionTime
1	11657	31123	0.2148s
2	19485	33269	0.06449s
3	27313	53587	0.06505s
4	35141	73881	0.06394s
5	42969	40723	0.06244s
6	50797	61017	0.06544s
7	58625	81311	0.07111s
8	66453	101605	0.08815s
9	74281	51304	0.08552s
10	82109	71598	0.08308s
11	89937	91892	0.09577s
12	97765	59226	0.08967s
13	105593	79520	0.0841s
14	113421	99810	0.1028s
15	121249	64098	0.09933s
16	129077	47733	0.08758s
17	136905	67953	0.0798s
18	144733	88169	0.08634s
19	152561	49461	0.1277s
20	160389	48474	0.09148s
21	168217	68674	0.1053s
22	176045	50247	0.09745s
23	183873	70443	0.09815s
24	191701	90635	0.1411s
25	199529	48966	0.1022s
26	207357	69154	0.1327s
27	215185	49505	0.1908s
28	223013	48831	0.1276s
29	230841	49369	0.1094s
30	238669	69529	0.124s
31	246497	40497	0.1068s
32	254325	60645	0.1214s
33	262153	80793	0.1258s
34	269981	43230	0.1657s
35	277809	63372	0.1231s
36	285637	43395	0.149s
37	293465	63535	0.1417s
38	301293	42697	0.1276s
39	309121	62801	0.5177s
This is the last UNSAT round.
