#iterationNumber	varNumber	clauseNumber	itertionTime
1	16709	41903	0.2899s
2	29589	50897	0.09105s
3	42469	84417	0.09759s
4	55349	117929	0.09273s
5	68229	151437	0.1176s
6	81109	91144	0.1068s
7	93989	124632	0.1183s
8	106869	111906	0.1105s
9	119749	145386	0.1402s
10	132629	132034	0.1311s
11	145509	165494	0.1347s
12	158389	152445	0.1266s
13	171269	185901	0.1311s
14	184149	219357	0.148s
15	197029	184392	0.1389s
16	209909	217848	0.1715s
17	222789	251296	0.1711s
18	235669	215351	0.1531s
19	248549	248795	0.159s
20	261429	282239	0.2093s
21	274309	246558	0.1851s
22	287189	279948	0.1951s
23	300069	259082	0.2048s
24	312949	292426	0.2585s
25	325829	273148	0.2451s
26	338709	281844	0.2111s
27	351589	315128	0.1906s
28	364469	348396	0.342s
29	377349	308002	0.2317s
30	390229	316590	0.2435s
31	403109	349822	0.3029s
32	415989	334232	0.2172s
33	428869	367462	0.241s
34	441749	351919	0.2163s
35	454629	385149	0.2264s
36	467509	418379	0.2444s
37	480389	451609	0.2404s
38	493269	484839	0.2789s
39	506149	396701	0.2914s
40	519029	429931	0.3028s
41	531909	414662	0.329s
42	544789	447884	0.284s
43	557669	481106	0.3868s
44	570549	440723	0.2661s
45	583429	473945	0.29s
46	596309	458047	0.5543s
47	609189	464964	0.3081s
48	622069	473641	0.4619s
49	634949	506841	0.3575s
50	647829	490874	0.2966s
51	660709	524074	0.5931s
52	673589	508380	0.3311s
53	686469	541554	0.3906s
54	699349	574696	0.7367s
55	712229	525034	0.6821s
56	725109	533831	0.5746s
57	737989	540346	0.4481s
58	750869	573470	0.4926s
59	763749	606586	0.5724s
60	776629	567396	0.5408s
61	789509	576855	0.3383s
62	802389	609969	0.3491s
63	815269	594869	0.4223s
64	828149	627971	0.3622s
65	841029	661073	0.409s
66	853909	619114	0.3647s
67	866789	652216	0.3643s
68	879669	685318	0.397s
69	892549	718420	0.5151s
70	905429	656281	0.4035s
71	918309	689381	0.6067s
72	931189	670841	0.3902s
73	944069	703931	0.4295s
74	956949	737021	0.4271s
75	969829	770107	0.5293s
76	982709	705440	0.7284s
77	995589	713045	0.6581s
78	1008469	721903	0.4886s
79	1021349	754979	0.4304s
80	1034229	739050	0.4224s
81	1047109	772126	0.4319s
82	1059989	805202	0.4674s
83	1072869	838278	0.4638s
84	1085749	871354	0.4535s
85	1098629	785162	0.4564s
86	1111509	818238	0.4416s
87	1124389	851314	0.8125s
88	1137269	811604	0.6051s
89	1150149	844666	0.5119s
90	1163029	877728	0.6448s
91	1175909	836934	0.5385s
92	1188789	869996	0.4755s
93	1201669	903058	0.4849s
94	1214549	864741	0.6168s
95	1227429	897803	0.5727s
96	1240309	930865	0.5208s
97	1253189	963923	0.5851s
98	1266069	900860	0.8131s
99	1278949	933918	0.7412s
100	1291829	919099	1.063s
101	1304709	925133	0.6904s
102	1317589	922983	1.05s
103	1330469	929442	1.36s
104	1343349	908043	0.5672s
105	1356229	940997	0.9979s
106	1369109	922687	0.6428s
107	1381989	955637	0.9273s
108	1394869	937554	0.5495s
109	1407749	970504	1.08s
110	1420629	954048	0.8463s
111	1433509	961907	0.7046s
112	1446389	994849	0.5717s
113	1459269	974419	0.5967s
114	1472149	1007353	0.6015s
115	1485029	1040283	0.7318s
116	1497909	1073211	0.5922s
117	1510789	1106139	0.9046s
118	1523669	995443	0.7683s
119	1536549	1028335	0.6667s
120	1549429	998461	0.6953s
121	1562309	1031343	0.6127s
122	1575189	1064225	0.613s
123	1588069	1097107	1.009s
124	1600949	1028998	0.6237s
125	1613829	1061880	0.6304s
126	1626709	1044404	0.6279s
127	1639589	1077286	0.635s
128	1652469	1110168	0.6975s
129	1665349	1143050	0.8227s
130	1678229	1175932	0.8104s
131	1691109	1082887	0.6451s
132	1703989	1115769	0.8539s
133	1716869	1148651	0.6522s
134	1729749	1181525	1.174s
135	1742629	1111239	0.9038s
136	1755509	1106409	0.986s
137	1768389	1139221	1.568s
138	1781269	1083790	1.412s
139	1794149	1091060	1.379s
140	1807029	1095301	0.8419s
141	1819909	1102598	0.7021s
142	1832789	1135400	0.9927s
143	1845669	1168202	0.8992s
144	1858549	1124305	0.7742s
145	1871429	1157107	0.7839s
146	1884309	1189909	1.2s
147	1897189	1146284	0.7556s
148	1910069	1179086	0.763s
149	1922949	1160964	0.7977s
150	1935829	1193766	0.8082s
151	1948709	1226568	1.312s
152	1961589	1182776	1.645s
153	1974469	1189973	0.7469s
154	1987349	1222773	1.179s
155	2000229	1193142	1.011s
156	2013109	1225926	1.128s
157	2025989	1204471	0.7556s
158	2038869	1237251	0.761s
159	2051749	1270031	0.959s
160	2064629	1227604	0.827s
161	2077509	1260384	0.8823s
162	2090389	1293164	1.758s
163	2103269	1230210	2.123s
164	2116149	1093364	0.7794s
165	2129029	1125954	0.7702s
166	2141909	1158544	1.43s
167	2154789	1104455	1.214s
168	2167669	1110829	1.419s
169	2180549	1105369	0.9176s
170	2193429	1137949	0.7879s
171	2206309	1170529	0.7973s
172	2219189	1124163	0.9854s
173	2232069	1156743	1.175s
174	2244949	1189323	0.8176s
175	2257829	1142975	0.8306s
176	2270709	1175551	1.249s
177	2283589	1208127	1.273s
178	2296469	1154997	0.8247s
179	2309349	1187571	1.648s
180	2322229	1165198	0.9865s
181	2335109	1197766	1.094s
182	2347989	1174153	1.031s
183	2360869	1206721	1.203s
184	2373749	1182225	0.8895s
