#iterationNumber	varNumber	clauseNumber	itertionTime
1	11825	31459	0.2118s
2	19821	34070	0.06201s
3	27817	54842	0.06279s
4	35813	75588	0.05887s
5	43809	96334	0.07162s
6	51805	47299	0.07424s
7	59801	68037	0.08373s
8	67797	44324	0.07418s
9	75793	64972	0.07365s
10	83789	44492	0.08659s
11	91785	45739	0.07668s
12	99781	66361	0.07678s
13	107777	86967	0.07647s
14	115773	107565	0.1294s
15	123769	50281	0.08308s
16	131765	70829	0.08811s
17	139761	50287	0.0859s
18	147757	70823	0.08736s
19	155753	91355	0.08977s
20	163749	111883	0.0887s
21	171745	132411	0.1021s
22	179741	54046	0.09333s
23	187737	74574	0.09557s
24	195733	95102	0.1013s
25	203729	115630	0.1326s
26	211725	57474	0.1005s
27	219721	78002	0.1306s
28	227717	60214	0.1128s
29	235713	80738	0.1079s
30	243709	101262	0.2336s
31	251705	54338	0.1599s
32	259701	52762	0.1152s
33	267697	73254	0.1167s
34	275693	93746	0.2154s
35	283689	54428	0.1928s
36	291685	52266	0.2715s
37	299681	45510	0.1288s
38	307677	46310	0.1287s
39	315673	66776	0.1314s
40	323669	87236	0.123s
41	331665	107696	0.1276s
42	339661	128156	0.1284s
43	347657	148616	0.1325s
44	355653	169072	0.1342s
45	363649	189528	0.154s
46	371645	209982	0.2296s
This is the last UNSAT round.
