#iterationNumber	varNumber	clauseNumber	itertionTime
1	1664	4327	0.02804s
2	2858	5760	0.009254s
3	4052	8880	0.008978s
4	5246	11960	0.0101s
5	6440	11494	0.01026s
6	7634	14574	0.01043s
7	8828	17642	0.0121s
8	10022	16720	0.0113s
9	11216	19764	0.0111s
10	12410	22808	0.01149s
11	13604	25840	0.01471s
12	14798	20280	0.01297s
13	15992	23194	0.01374s
14	17186	9430	0.01167s
15	18380	12340	0.01433s
16	19574	15246	0.01533s
17	20768	9528	0.01289s
18	21962	12410	0.01482s
19	23156	15288	0.02354s
20	24350	6892	0.01705s
21	25544	6840	0.1305s
This is the last UNSAT round.
