#iterationNumber	varNumber	clauseNumber	itertionTime
1	11469	30747	0.2188s
2	19109	32390	0.0547s
3	26749	52198	0.05716s
4	34389	72002	0.05667s
5	42029	91806	0.07401s
6	49669	34107	0.06442s
7	57309	53895	0.06882s
8	64949	34948	0.06655s
9	72589	54728	0.06564s
10	80229	74496	0.0714s
11	87869	35025	0.08989s
12	95509	35243	0.1173s
13	103149	36038	0.0753s
14	110789	35680	0.07491s
15	118429	55432	0.07547s
16	126069	75184	0.07993s
17	133709	94936	0.08183s
18	141349	114688	0.1009s
19	148989	38000	0.09106s
20	156629	37708	0.08295s
21	164269	57456	0.08501s
22	171909	77204	0.08709s
23	179549	96952	0.09044s
24	187189	116700	0.09121s
25	194829	136448	0.1058s
26	202469	40276	0.1s
27	210109	60012	0.2009s
28	217749	33725	0.2807s
This is the last UNSAT round.
