#iterationNumber	varNumber	clauseNumber	itertionTime
1	11521	30851	0.2217s
2	19213	32593	0.05646s
3	26905	52533	0.05753s
4	34597	72473	0.05874s
5	42289	92409	0.05997s
6	49981	112345	0.06682s
7	57673	36798	0.06232s
8	65365	56734	0.06852s
9	73057	76670	0.07838s
10	80749	39714	0.06892s
11	88441	59650	0.07484s
12	96133	79586	0.08017s
13	103825	42498	0.07304s
14	111517	62434	0.07563s
15	119209	82370	0.09571s
16	126901	44445	0.106s
17	134593	45087	0.0787s
18	142285	65003	0.1041s
19	149977	46903	0.1112s
20	157669	45477	0.1151s
21	165361	43457	0.1016s
22	173053	63349	0.1631s
23	180745	36235	0.1096s
24	188437	34844	0.0943s
25	196129	54692	0.1002s
26	203821	74540	0.09824s
27	211513	94376	0.09465s
28	219205	114212	0.09858s
29	226897	134044	0.3867s
This is the last UNSAT round.
