#iterationNumber	varNumber	clauseNumber	itertionTime
1	14437	37075	0.2488s
2	25045	42843	0.07393s
3	35653	70403	0.07851s
4	46261	97959	0.0807s
5	56869	125499	0.09135s
6	67477	64024	0.08814s
7	78085	91560	0.09147s
8	88693	119096	0.1005s
9	99301	80322	0.09927s
10	109909	107830	0.1035s
11	120517	135322	0.108s
12	131125	94753	0.1081s
13	141733	122219	0.1011s
14	152341	149685	0.1208s
15	162949	109094	0.1071s
16	173557	136560	0.1172s
17	184165	164026	0.1261s
18	194773	191492	0.1315s
19	205381	129260	0.1242s
20	215989	156720	0.1301s
21	226597	184168	0.1426s
22	237205	211616	0.1408s
23	247813	146892	0.1446s
24	258421	174308	0.1337s
25	269029	201716	0.1638s
26	279637	156760	0.1463s
27	290245	184126	0.142s
28	300853	211492	0.1598s
29	311461	238858	0.1647s
30	322069	173834	0.1578s
31	332677	201192	0.1821s
32	343285	228530	0.2003s
33	353893	185151	0.1956s
34	364501	212457	0.2373s
35	375109	191821	0.1911s
36	385717	219107	0.1862s
37	396325	246393	0.2029s
38	406933	203120	0.194s
39	417541	230366	0.1877s
40	428149	257612	0.2066s
41	438757	215153	0.197s
42	449365	242399	0.2155s
43	459973	269645	0.2142s
44	470581	228238	0.2065s
45	481189	255484	0.1973s
46	491797	282730	0.2024s
47	502405	309976	0.2073s
48	513013	337222	0.2471s
49	523621	249817	0.2165s
50	534229	277063	0.2266s
51	544837	304309	0.223s
52	555445	331555	0.2469s
53	566053	267447	0.23s
54	576661	294693	0.2475s
55	587269	321939	0.2391s
56	597877	349185	0.2687s
57	608485	285185	0.2395s
58	619093	312423	0.259s
59	629701	339657	0.2661s
60	640309	366883	0.2815s
61	650917	297390	0.2514s
62	661525	324612	0.2659s
63	672133	351834	0.2721s
64	682741	379052	0.3084s
65	693349	312074	0.2593s
66	703957	339284	0.2781s
67	714565	366494	0.2716s
68	725173	393700	0.329s
69	735781	328642	0.312s
70	746389	355836	0.2848s
71	756997	383030	0.3667s
72	767605	339674	0.3325s
73	778213	366864	0.3113s
74	788821	346412	0.3131s
75	799429	373598	0.3171s
76	810037	400780	0.3081s
77	820645	427954	0.3019s
78	831253	455128	0.3307s
79	841861	366177	0.4342s
80	852469	393351	0.3867s
81	863077	373335	0.4432s
82	873685	375723	0.4622s
83	884293	377645	0.3317s
84	894901	404773	0.3238s
85	905509	431901	0.3193s
86	916117	459029	0.3604s
87	926725	391111	0.4553s
88	937333	418239	0.3508s
89	947941	445363	0.3282s
90	958549	402883	0.3335s
91	969157	430007	0.348s
92	979765	457131	0.3409s
93	990373	484247	0.3431s
94	1000981	511359	0.4138s
95	1011589	417249	0.3623s
96	1022197	444349	0.5397s
97	1032805	418131	0.4448s
98	1043413	445191	0.3564s
99	1054021	472247	0.4227s
100	1064629	419578	0.3707s
101	1075237	446626	0.3662s
102	1085845	473670	0.3703s
103	1096453	500714	0.4578s
104	1107061	432702	0.3952s
105	1117669	459744	0.421s
106	1128277	486786	0.7669s
107	1138885	443999	0.4181s
108	1149493	446588	0.4072s
109	1160101	473620	0.4139s
110	1170709	500652	0.5282s
111	1181317	454984	0.5506s
112	1191925	481988	0.6702s
113	1202533	453392	0.7942s
114	1213141	454237	0.4547s
115	1223749	445309	0.4332s
116	1234357	472271	0.4323s
117	1244965	499233	0.6075s
118	1255573	456504	0.4317s
119	1266181	483462	0.4368s
120	1276789	510420	0.5437s
121	1287397	537364	0.5869s
122	1298005	461089	0.4565s
123	1308613	488017	0.5511s
124	1319221	462569	0.5222s
125	1329829	489485	0.5811s
126	1340437	516401	0.6586s
127	1351045	471230	0.4609s
128	1361653	470038	0.5343s
129	1372261	496946	0.4548s
130	1382869	523854	0.518s
131	1393477	479871	0.6747s
132	1404085	506771	0.6103s
133	1414693	467374	0.5788s
134	1425301	447782	0.48s
135	1435909	474634	0.5702s
136	1446517	501486	0.4741s
137	1457125	452586	0.489s
138	1467733	479438	0.5571s
139	1478341	506290	1.037s
140	1488949	447272	0.5501s
141	1499557	424779	0.5388s
142	1510165	451545	0.6432s
143	1520773	406519	0.477s
144	1531381	433281	0.6191s
145	1541989	404146	0.4779s
146	1552597	430898	0.5503s
147	1563205	457650	0.525s
148	1573813	411826	0.5042s
149	1584421	438574	0.7119s
150	1595029	415230	0.714s
151	1605637	417593	0.7577s
152	1616245	416305	1.054s
153	1626853	415239	0.9067s
154	1637461	415422	0.5597s
155	1648069	417825	0.5041s
156	1658677	444553	0.6238s
157	1669285	471279	0.5941s
158	1679893	422911	0.5639s
159	1690501	449633	1.142s
160	1701109	427530	0.5472s
161	1711717	429897	0.5199s
162	1722325	456619	0.5247s
163	1732933	483341	1.222s
164	1743541	436769	0.7331s
165	1754149	436401	0.6576s
166	1764757	463115	1.016s
167	1775365	441341	0.6776s
168	1785973	468055	0.5947s
169	1796581	446205	0.9401s
170	1807189	447125	1.28s
171	1817797	445856	0.549s
172	1828405	472564	1.044s
173	1839013	450675	0.6543s
174	1849621	451751	0.6907s
175	1860229	478455	0.5828s
176	1870837	505159	0.5912s
177	1881445	458615	1.359s
178	1892053	459289	0.7508s
179	1902661	456392	0.8958s
180	1913269	483090	0.6567s
181	1923877	460900	1.642s
182	1934485	417296	0.5975s
183	1945093	443932	0.979s
184	1955701	400442	0.6083s
185	1966309	427076	0.6364s
186	1976917	404068	0.5925s
187	1987525	430702	0.6165s
188	1998133	457336	0.5729s
189	2008741	483970	0.5824s
190	2019349	411667	0.7001s
191	2029957	438299	0.8307s
192	2040565	388831	1.201s
193	2051173	351586	0.5871s
194	2061781	378148	0.9962s
195	2072389	344646	0.8753s
196	2082997	345081	1.85s
