#iterationNumber	varNumber	clauseNumber	itertionTime
1	8167	22587	0.1584s
2	13725	26755	0.04426s
3	19283	41595	0.04796s
4	24841	33886	0.04933s
5	30399	48616	0.05356s
6	35957	35450	0.04716s
7	41515	50136	0.05283s
8	47073	64808	0.0581s
9	52631	31688	0.06401s
10	58189	31955	0.05558s
11	63747	46587	0.05562s
12	69305	29974	0.05537s
13	74863	44580	0.05996s
14	80421	59182	0.06973s
15	85979	32977	0.06321s
16	91537	31661	0.06986s
17	97095	46243	0.06552s
18	102653	25739	0.3195s
This is the last UNSAT round.
