#iterationNumber	varNumber	clauseNumber	itertionTime
1	8691	23635	0.1613s
2	14773	29212	0.05038s
3	20855	45906	0.05386s
4	26937	57498	0.05786s
5	33019	74138	0.05525s
6	39101	90778	0.08693s
7	45183	94106	0.08726s
8	51265	104086	0.06939s
9	57347	120568	0.07046s
10	63429	127285	0.06552s
11	69511	143761	0.07528s
12	75593	160219	0.07239s
13	81675	176609	0.0756s
14	87757	168863	0.07967s
15	93839	185253	0.09275s
16	99921	201639	0.1895s
17	106003	201135	0.09583s
18	112085	212698	0.1376s
19	118167	122827	0.07538s
20	124249	138759	0.08683s
21	130331	154659	0.1875s
22	136413	127906	0.08568s
23	142495	143764	0.1023s
24	148577	159622	0.1811s
25	154659	142429	0.1281s
26	160741	158255	0.1873s
27	166823	96531	0.1154s
28	172905	30522	0.1541s
29	178987	30081	0.08563s
30	185069	29951	0.08968s
31	191151	45601	0.3049s
This is the last UNSAT round.
