#iterationNumber	varNumber	clauseNumber	itertionTime
1	6172	16243	0.112s
2	10602	20163	0.03367s
3	15032	31967	0.03704s
4	19462	43751	0.04268s
5	23892	24108	0.04039s
6	28322	35870	0.04533s
7	32752	47626	0.04655s
8	37182	27879	0.04494s
9	41612	28677	0.04458s
10	46042	40405	0.05568s
11	50472	52127	0.04835s
12	54902	63843	0.05055s
13	59332	33124	0.05076s
14	63762	44828	0.05038s
15	68192	56526	0.0756s
16	72622	68210	0.06754s
17	77052	36780	0.0657s
18	81482	48462	0.06279s
19	85912	60136	0.07478s
20	90342	39727	0.07774s
21	94772	40365	0.05923s
22	99202	52027	0.06653s
23	103632	63677	0.07474s
24	108062	75323	0.06851s
25	112492	42010	0.06229s
26	116922	53636	0.06741s
27	121352	65254	0.08063s
28	125782	42976	0.07009s
29	130212	54588	0.07072s
30	134642	66196	0.08359s
31	139072	44703	0.0663s
32	143502	56303	0.07257s
33	147932	67897	0.0743s
34	152362	79485	0.0937s
35	156792	47442	0.09076s
36	161222	59018	0.09607s
37	165652	42358	0.1338s
38	170082	41130	0.1263s
39	174512	41421	0.09404s
40	178942	52953	0.09563s
41	183372	64481	0.1095s
42	187802	41607	0.09261s
43	192232	53123	0.0913s
44	196662	64635	0.101s
45	201092	76143	0.08539s
46	205522	87643	0.1133s
47	209952	37573	0.08469s
48	214382	49049	0.08721s
49	218812	60525	0.08755s
50	223242	72001	0.1243s
51	227672	39091	0.08536s
52	232102	50567	0.0871s
53	236532	62039	0.1775s
54	240962	38139	0.08988s
55	245392	38218	0.095s
56	249822	49674	0.09569s
57	254252	61122	0.1091s
58	258682	72562	0.09583s
59	263112	83994	0.3028s
60	267542	35661	0.3876s
61	271972	34824	0.1006s
62	276402	34678	0.2015s
63	280832	46090	0.1074s
64	285262	57498	0.06396s
This is the last UNSAT round.
