#iterationNumber	varNumber	clauseNumber	itertionTime
1	7676	19439	0.1327s
2	13610	25702	0.04564s
3	19544	41452	0.04785s
4	25478	34905	0.04961s
5	31412	50625	0.05014s
6	37346	66337	0.05504s
7	43280	47845	0.05268s
8	49214	63549	0.05628s
9	55148	79245	0.06407s
10	61082	59069	0.06922s
11	67016	74725	0.06738s
12	72950	66787	0.06246s
13	78884	82421	0.07911s
14	84818	76971	0.07787s
15	90752	92567	0.0846s
16	96686	85912	0.07202s
17	102620	101484	0.1051s
18	108554	94916	0.114s
19	114488	99710	0.09803s
20	120422	99056	0.09292s
21	126356	114580	0.1105s
22	132290	107649	0.1309s
23	138224	123149	0.1229s
24	144158	116756	0.123s
25	150092	132252	0.1048s
26	156026	147738	0.1765s
27	161960	126570	0.1537s
28	167894	141950	0.1341s
29	173828	108407	0.1524s
30	179762	107893	0.09627s
31	185696	123217	0.1307s
32	191630	111336	0.1196s
33	197564	111384	0.1064s
34	203498	126624	0.1215s
35	209432	103043	0.09988s
36	215366	118273	0.1071s
37	221300	133501	0.1102s
38	227234	148709	0.1276s
39	233168	106936	0.104s
40	239102	122136	0.1089s
41	245036	137328	0.1141s
42	250970	152508	0.1143s
43	256904	111245	0.1127s
44	262838	126413	0.1116s
45	268772	141577	0.1372s
46	274706	113278	0.1263s
47	280640	128426	0.1251s
48	286574	143574	0.1431s
49	292508	117145	0.1303s
50	298442	132247	0.1319s
51	304376	147323	0.1411s
52	310310	102495	0.1248s
53	316244	117561	0.1324s
54	322178	132627	0.1593s
55	328112	107885	0.1538s
56	334046	122903	0.1464s
57	339980	91871	0.1364s
58	345914	106857	0.1307s
59	351848	121835	0.1291s
60	357782	136805	0.1434s
61	363716	84022	0.1424s
62	369650	98960	0.1586s
63	375584	78211	0.137s
64	381518	93133	0.1377s
65	387452	108053	0.1363s
66	393386	122969	0.1681s
67	399320	82503	0.1604s
68	405254	97399	0.1441s
69	411188	112291	0.1635s
70	417122	81668	0.1457s
71	423056	96540	0.1388s
72	428990	111408	0.1586s
73	434924	80986	0.1527s
74	440858	95840	0.152s
75	446792	110690	0.1635s
76	452726	80397	0.1842s
77	458660	95239	0.1588s
78	464594	110079	0.1569s
79	470528	124913	0.1569s
80	476462	139727	0.1777s
81	482396	78804	0.1625s
82	488330	93612	0.1935s
83	494264	108412	0.2168s
84	500198	123208	0.1971s
85	506132	138000	0.2089s
86	512066	77331	0.3158s
87	518000	74423	0.2136s
88	523934	73809	0.1759s
89	529868	88563	0.1927s
90	535802	103309	0.2051s
91	541736	118051	0.4229s
92	547670	70059	0.5597s
93	553604	69517	0.7543s
94	559538	69209	0.2358s
95	565472	69168	0.2607s
96	571406	83888	0.1998s
97	577340	98604	0.3219s
This is the last UNSAT round.
