#iterationNumber	varNumber	clauseNumber	itertionTime
1	1612	4223	0.02747s
2	2754	5518	0.009296s
3	3896	8466	0.008958s
4	5038	7479	0.01048s
5	6180	10371	0.01032s
6	7322	13263	0.009809s
7	8464	16155	0.01062s
8	9606	12349	0.01024s
9	10748	15241	0.01084s
10	11890	18129	0.01147s
11	13032	21017	0.01235s
12	14174	16539	0.01203s
13	15316	19419	0.01152s
14	16458	22237	0.01123s
15	17600	25043	0.01154s
16	18742	27843	0.01317s
17	19884	8982	0.01362s
18	21026	11770	0.01356s
19	22168	8716	0.01263s
20	23310	11490	0.01292s
21	24452	14260	0.01355s
22	25594	17030	0.1047s
This is the last UNSAT round.
