#iterationNumber	varNumber	clauseNumber	itertionTime
1	283841	868643	0.0766
2	283841	868643	0.0986
3	283841	868643	1.581
4	283841	868643	0.1642
5	283841	868643	0.2023
6	283841	868643	0.2318
7	283841	868643	0.2442
8	283841	868643	0.2765
9	283841	868643	0.3345
10	283841	868643	0.3251
11	283841	868643	0.3852
12	283841	868643	0.4252
13	283841	868643	0.4261
14	283841	868643	0.4942
15	283841	868643	0.5184
16	283841	868643	0.5308
17	283841	868643	8.5946
18	283841	868643	0.5966
19	283841	868643	0.6795
20	283841	868643	0.7258
21	283841	868643	0.6828
22	283841	868643	0.7479
23	283841	868643	0.7558
24	283841	868643	0.7816
25	283841	868643	0.8677
26	283841	868643	0.8604
27	283841	868643	0.9132
28	283841	868643	0.8973
29	283841	868643	0.9381
30	283841	868643	7.5509
31	283841	868643	1.0847
32	283841	868643	1.0818
33	283841	868643	1.079
34	283841	868643	1.2034
35	283841	868643	6.2339
36	283841	868643	1.2751
37	283841	868643	1.2463
38	283841	868643	1.2443
39	283841	868643	1.3105
40	283841	868643	1.2808
41	283841	868643	2.56
42	283841	868643	1.4804
43	283841	868643	1.6245
44	283841	868643	1.5539
45	283841	868643	2.4323
The last iteration is UNSAT.
The total time used (including file parse time) is
59.8642 s
