#iterationNumber	varNumber	clauseNumber	itertionTime
1	8091	22435	0.163s
2	13573	26396	0.04521s
3	19055	41094	0.04503s
4	24537	55784	0.05253s
5	30019	39931	0.04835s
6	35501	54579	0.04921s
7	40983	69227	0.05277s
8	46465	83859	0.05721s
9	51947	56209	0.05209s
10	57429	70731	0.05836s
11	62911	28451	0.05918s
12	68393	42913	0.05969s
13	73875	26520	0.07245s
14	79357	26478	0.08051s
15	84839	26090	0.05916s
16	90321	40520	0.06372s
17	95803	25952	0.07269s
18	101285	25899	0.1426s
19	106767	25391	0.1938s
This is the last UNSAT round.
