#iterationNumber	varNumber	clauseNumber	itertionTime
1	8703	23659	0.1538s
2	14797	29297	0.04703s
3	20891	45991	0.05646s
4	26985	58011	0.08892s
5	33079	67002	0.07952s
6	39173	74308	0.05871s
7	45267	90718	0.05761s
8	51361	107120	0.06145s
9	57455	105156	0.1016s
10	63549	104753	0.08881s
11	69643	94195	0.06236s
12	75737	110055	0.07892s
13	81831	125895	0.07019s
14	87925	43610	0.08181s
15	94019	44134	0.06435s
16	100113	59936	0.06575s
17	106207	75738	0.07055s
18	112301	45986	0.07101s
19	118395	61788	0.07447s
20	124489	77590	0.07258s
21	130583	93392	0.07486s
22	136677	109194	0.08457s
23	142771	58151	0.07689s
24	148865	73953	0.08474s
25	154959	89755	0.08629s
26	161053	105557	0.08785s
27	167147	68375	0.08361s
28	173241	84177	0.1292s
29	179335	69169	0.09254s
30	185429	71759	0.1304s
31	191523	73071	0.1291s
32	197617	75392	0.1089s
33	203711	76471	0.1825s
34	209805	59486	0.09426s
35	215899	75196	0.1373s
36	221993	62472	0.09655s
37	228087	78182	0.09902s
38	234181	93892	0.1119s
39	240275	109602	0.1086s
40	246369	68524	0.1028s
41	252463	84234	0.1032s
42	258557	99944	0.1963s
43	264651	34378	0.1075s
44	270745	50060	0.117s
45	276839	31238	0.1269s
46	282933	31027	0.2556s
This is the last UNSAT round.
