#iterationNumber	varNumber	clauseNumber	itertionTime
1	10172	24743	0.1806s
2	18602	34733	0.06414s
3	27032	57049	0.07529s
4	35462	57645	0.08367s
5	43892	64275	0.09466s
6	52322	73676	0.09186s
7	60752	83335	0.1221s
8	69182	93942	0.106s
9	77612	98721	0.09591s
10	86042	108171	0.1632s
11	94472	113023	0.1367s
12	102902	122717	0.09812s
13	111332	144837	0.1538s
14	119762	139310	0.2359s
15	128192	147365	0.1421s
16	136622	155314	0.1574s
17	145052	161398	0.1273s
18	153482	167236	0.1092s
19	161912	189300	0.1256s
20	170342	183758	0.1236s
21	178772	205816	0.1315s
22	187202	201925	0.1607s
23	195632	223977	0.1862s
24	204062	223280	0.2032s
25	212492	231053	0.1626s
26	220922	241268	0.2913s
27	229352	248811	0.35s
28	237782	234065	0.3062s
29	246212	236904	0.318s
30	254642	244907	0.2295s
31	263072	254172	0.1831s
32	271502	260133	0.3815s
33	279932	268151	0.3229s
34	288362	275385	0.4335s
35	296792	279246	0.2575s
36	305222	284726	0.2908s
37	313652	290887	0.4617s
38	322082	294155	0.2257s
39	330512	303615	0.2404s
40	338942	301670	0.2753s
41	347372	307474	0.2752s
42	355802	329174	0.3057s
43	364232	321159	0.2281s
44	372662	321132	0.1855s
45	381092	342784	0.3276s
46	389522	334110	0.2485s
47	397952	331610	0.4484s
48	406382	336672	0.2702s
49	414812	358290	0.2319s
50	423242	379908	0.4492s
51	431672	343806	0.2584s
52	440102	350367	0.2461s
53	448532	371923	0.2263s
54	456962	393467	0.2871s
55	465392	362848	0.4127s
56	473822	352977	0.309s
57	482252	357611	0.4754s
58	490682	326969	0.3549s
59	499112	306418	0.2346s
60	507542	327608	0.3016s
61	515972	311544	0.2359s
62	524402	332720	0.381s
63	532832	316121	0.2587s
64	541262	320916	0.2708s
65	549692	342074	0.4359s
66	558122	321929	0.2306s
67	566552	316501	0.2566s
68	574982	337607	0.3904s
69	583412	325556	0.5365s
70	591842	320759	0.295s
71	600272	323855	0.2949s
72	608702	344897	0.2877s
73	617132	329742	0.2869s
74	625562	350780	0.3944s
75	633992	336365	0.3194s
76	642422	357383	0.312s
77	650852	339843	0.2754s
78	659282	360833	0.3966s
79	667712	332420	0.3572s
80	676142	326851	0.2919s
81	684572	347793	0.2688s
82	693002	325847	0.3812s
83	701432	322730	0.2794s
84	709862	343648	0.4745s
85	718292	327477	0.3508s
86	726722	329406	0.3953s
87	735152	331074	0.6297s
88	743582	329516	0.3688s
89	752012	327397	0.2957s
90	760442	348243	0.312s
91	768872	369089	0.3542s
92	777302	329155	0.4022s
93	785732	329578	0.4224s
94	794162	325815	0.3864s
95	802592	328389	0.3931s
96	811022	330835	0.2885s
97	819452	351635	0.53s
98	827882	325809	0.3531s
99	836312	313385	0.3127s
100	844742	334135	0.5062s
101	853172	318039	0.3665s
102	861602	338785	0.3457s
103	870032	320083	0.3052s
104	878462	340825	0.346s
105	886892	361565	0.334s
106	895322	382293	0.351s
107	903752	327518	0.3153s
108	912182	348242	0.3427s
109	920612	368966	0.3282s
110	929042	389690	0.3708s
111	937472	337991	0.3315s
112	945902	358711	0.34s
113	954332	379429	0.3421s
114	962762	400143	0.5368s
115	971192	343512	0.426s
116	979622	364202	0.3389s
117	988052	384888	0.395s
118	996482	341144	0.4347s
119	1004912	361822	0.358s
120	1013342	382496	0.3575s
121	1021772	348962	0.3845s
122	1030202	369632	0.3849s
123	1038632	390296	0.484s
124	1047062	354333	0.4032s
125	1055492	374985	0.3604s
126	1063922	395633	0.375s
127	1072352	356351	0.9085s
128	1080782	356473	0.3826s
129	1089212	377103	0.3767s
130	1097642	397729	0.6205s
131	1106072	362573	0.4212s
132	1114502	360469	0.4008s
133	1122932	381075	0.6694s
134	1131362	364105	0.8084s
135	1139792	362327	0.4403s
136	1148222	382907	1.433s
This is the last UNSAT round.
