#iterationNumber	varNumber	clauseNumber	itertionTime
1	9564	23415	0.1615s
2	17386	32781	0.05754s
3	25208	53613	0.06583s
4	33030	73869	0.0719s
5	40852	94701	0.1108s
6	48674	114957	0.09395s
7	56496	135495	0.1549s
8	64318	156039	0.3218s
9	72140	176570	0.2499s
10	79962	185480	0.1662s
11	87784	204772	0.5484s
12	95606	223788	0.2065s
13	103428	242848	0.1157s
14	111250	234839	0.2612s
15	119072	241923	0.1624s
16	126894	258382	0.1396s
17	134716	279146	0.1091s
18	142538	299910	0.1226s
19	150360	320674	0.1193s
20	158182	323988	0.1161s
21	166004	344752	0.1309s
22	173826	365516	0.2021s
23	181648	373209	0.2088s
24	189470	393973	0.2983s
25	197292	406287	0.2094s
26	205114	420007	0.2878s
27	212936	322313	0.4394s
28	220758	258519	0.1447s
29	228580	278909	0.2073s
30	236402	274484	0.1506s
31	244224	294874	0.3129s
32	252046	283608	0.3154s
33	259868	281424	0.3231s
34	267690	279780	0.4907s
35	275512	284077	0.3668s
36	283334	281981	0.2223s
37	291156	284296	0.1693s
38	298978	304478	0.2001s
39	306800	296331	0.3127s
40	314622	298448	0.2268s
41	322444	302262	0.1666s
42	330266	322400	0.3423s
43	338088	310616	0.5568s
44	345910	296324	0.2567s
45	353732	289149	0.4103s
46	361554	292863	0.2115s
47	369376	312893	0.4817s
48	377198	305631	0.474s
49	385020	290103	0.2s
50	392842	310055	0.2603s
51	400664	303493	0.2129s
52	408486	323437	0.2112s
53	416308	343381	0.6054s
54	424130	297508	0.2209s
55	431952	303591	0.5914s
56	439774	286883	0.3659s
57	447596	290411	0.2321s
58	455418	292319	0.2902s
59	463240	312041	0.3741s
60	471062	294703	0.2492s
61	478884	314417	0.2266s
62	486706	334129	0.272s
63	494528	306456	0.2421s
64	502350	326168	0.3112s
65	510172	316422	0.2759s
66	517994	319563	0.314s
67	525816	339257	0.23s
68	533638	332128	0.2428s
69	541460	351820	0.2271s
70	549282	371512	0.2389s
71	557104	391204	0.2994s
72	564926	349169	0.2447s
73	572748	368843	0.237s
74	580570	388501	0.2734s
75	588392	408103	0.2918s
76	596214	345714	0.287s
77	604036	365274	0.4715s
78	611858	315359	0.2655s
79	619680	334835	0.2439s
80	627502	310682	0.2887s
81	635324	330146	0.3379s
82	643146	316637	0.2783s
83	650968	336049	0.4565s
84	658790	304561	0.2528s
85	666612	323947	0.2699s
86	674434	343323	0.279s
87	682256	362689	0.3072s
88	690078	311298	0.3129s
89	697900	330660	0.5105s
90	705722	310642	0.3654s
91	713544	312175	0.3052s
92	721366	331507	0.2644s
93	729188	350839	0.317s
94	737010	320343	0.2712s
95	744832	339675	0.2734s
96	752654	359007	0.3149s
97	760476	378335	0.2932s
98	768298	335575	0.2813s
99	776120	354893	0.3401s
100	783942	374203	0.3194s
101	791764	345941	0.6671s
102	799586	342487	0.3387s
103	807408	361765	0.5573s
104	815230	341007	0.4379s
105	823052	343340	0.3312s
106	830874	362618	0.5389s
107	838696	348048	0.3627s
108	846518	367310	0.3792s
109	854340	344446	0.5319s
110	862162	346378	0.6163s
111	869984	348152	0.6576s
112	877806	345389	0.3236s
113	885628	364621	0.339s
114	893450	383849	0.3721s
115	901272	403077	0.3222s
116	909094	355398	0.4261s
117	916916	374626	0.3879s
118	924738	349211	0.3854s
119	932560	368421	0.3885s
120	940382	387627	0.4232s
121	948204	352572	0.3773s
122	956026	371778	0.991s
123	963848	356341	0.3377s
124	971670	375529	0.3652s
125	979492	394713	0.4528s
126	987314	360188	0.3349s
127	995136	379362	0.3616s
128	1002958	398530	0.3836s
129	1010780	417690	0.5829s
130	1018602	370891	0.9463s
131	1026424	324113	0.3664s
132	1034246	343199	0.1306s
This is the last UNSAT round.
