#iterationNumber	varNumber	clauseNumber	itertionTime
1	13487	33811	0.2364s
2	24365	46756	0.08211s
3	35243	76102	0.08779s
4	46121	105446	0.1325s
5	56999	131153	0.1714s
6	67877	158175	0.1895s
7	78755	184948	0.1862s
8	89633	212673	0.3759s
9	100511	236497	0.1851s
10	111389	263404	0.1584s
11	122267	292678	0.2149s
12	133145	317713	0.4166s
13	144023	310381	0.3981s
14	154901	299849	0.2968s
15	165779	301843	0.2542s
16	176657	330761	0.1498s
17	187535	342634	0.36s
18	198413	357798	0.1944s
19	209291	356262	0.433s
20	220169	325145	0.3345s
21	231047	332567	0.2039s
22	241925	361157	0.1809s
23	252803	359221	0.2012s
24	263681	387791	0.2892s
25	274559	416361	0.3613s
26	285437	406853	0.1855s
27	296315	435423	0.2856s
28	307193	436881	0.2948s
29	318071	465441	0.6736s
30	328949	467759	0.2071s
31	339827	477680	0.3813s
32	350705	506198	0.2159s
33	361583	534716	0.2192s
34	372461	521549	0.2193s
35	383339	550067	0.2529s
36	394217	578585	0.2283s
37	405095	607103	0.5305s
38	415973	635621	0.4795s
39	426851	599482	0.4845s
40	437729	613040	0.282s
41	448607	641542	1.023s
42	459485	642776	0.2783s
43	470363	651612	0.4429s
44	481241	680076	0.2863s
45	492119	708480	0.3349s
46	502997	679326	0.7624s
47	513875	663114	0.5692s
48	524753	674959	1.066s
49	535631	669251	0.5943s
50	546509	697487	0.3981s
51	557387	694731	0.5489s
52	568265	708289	0.3026s
53	579143	736521	0.4636s
54	590021	764749	0.5428s
55	600899	792965	1.5s
56	611777	759313	0.4077s
57	622655	767655	0.6686s
58	633533	795867	0.6685s
59	644411	790049	0.5414s
60	655289	744408	0.4529s
61	666167	772546	0.7875s
62	677045	759240	0.9045s
63	687923	760749	0.8139s
64	698801	773253	1.394s
65	709679	778218	0.8039s
66	720557	778811	0.8825s
67	731435	806839	1.724s
68	742313	799908	1.511s
69	753191	808967	1.693s
70	764069	821717	0.9516s
71	774947	767195	0.6401s
72	785825	795115	0.8623s
73	796703	787351	0.4024s
74	807581	795511	1.398s
75	818459	787797	3.465s
76	829337	790039	1.583s
77	840215	795619	1.084s
78	851093	804034	0.5532s
79	861971	831894	3.011s
80	872849	814692	0.5722s
81	883727	842544	1.637s
82	894605	805879	0.794s
83	905483	814125	0.7368s
84	916361	841935	0.4949s
85	927239	831661	0.4425s
86	938117	859471	0.4323s
87	948995	887281	0.446s
88	959873	915091	0.4309s
89	970751	942901	2.653s
90	981629	878696	1.423s
91	992507	887576	1.026s
92	1003385	897249	1.065s
93	1014263	905943	0.8753s
94	1025141	915685	0.4878s
95	1036019	923574	0.4593s
96	1046897	951376	0.4674s
97	1057775	979178	1.626s
98	1068653	910049	1.861s
99	1079531	915286	0.5543s
100	1090409	942996	0.6902s
101	1101287	930391	3.007s
102	1112165	936478	1.522s
103	1123043	944380	0.6507s
104	1133921	952208	1.247s
105	1144799	954334	3.147s
106	1155677	959832	1.843s
107	1166555	968983	0.8488s
108	1177433	975313	1.069s
109	1188311	983089	1.937s
110	1199189	964698	6.384s
111	1210067	967185	2.182s
112	1220945	971908	3.857s
113	1231823	979407	0.785s
114	1242701	986875	0.9247s
115	1253579	1014499	1.781s
116	1264457	1001530	1.127s
117	1275335	1029152	3.27s
118	1286213	1015661	3.011s
119	1297091	1017324	0.66s
120	1307969	996582	0.932s
121	1318847	1024154	1.749s
122	1329725	969584	2.614s
123	1340603	972623	1.67s
124	1351481	978595	7.714s
125	1362359	969035	1.228s
126	1373237	977163	2.395s
127	1384115	977206	1.341s
128	1394993	981895	0.8407s
129	1405871	989304	0.9058s
130	1416749	1016770	1.241s
131	1427627	1005307	4.619s
132	1438505	1007677	0.8276s
133	1449383	1035137	1.505s
134	1460261	1062597	1.775s
135	1471139	1025235	4.137s
136	1482017	1016020	27.62s
This is the last UNSAT round.
